"namn"",""id"",""orgnr"
"Askims Sjöscoutkår","3824","857203-7342"
"Backa Scoutkår","440","857203-7730"
"Björkekärr Scoutkår","439","802489-1205"
"Engelbrekt Scoutkår","1270","875001-8676"
"Göta Lejon Scoutkår","432","857203-7862"
"Göta Scoutkår","3827","802449-8852"
"Göteborgs Katolska Scoutkår","3845",""
"Göteborgs Sjöscoutkår","1271","857200-6537"
"Lärjedalen/Hjällbo scoutkår","3828","857203-9397"
"Hvitfeldts Scoutkår","3829","855100-1384"
"Högsbotorps Scoutkår SSF","3830","857203-7474"
"Johannebergs Scoutkår","3831","857200-8137"
"Jägarna Scoutkåren","3832","857207-0988"
"Järnbrotts Scoutkår","438","857203-5817"
"Kortedala Scoutkår","3833","857203-7490"
"Långedrags Sjöscoutkår","3836","802501-2777"
"Långängens Scoutkår","3837","857203-7516"
"Masthugget Majornas Scoutkår","3839","857206-9279"
"Redbergslids Scoutkår","1272","802414-8226"
"Sisjö Scoutkår","3820","857204-2235"
"Svenska scoutrådet","14642",""
"Syrisk Ortodoxa S:t Gabriel Scoutkår","7455",""
"Torslanda Sjöscoutkår","3842","802468-2471"
"Tuve Scoutkår","443","802439-1610"
"Tynnereds Scoutkår","3843","857203-7722"
"Utby Scoutkår NSF","441","857204-4033",
"Sjöscoutkåren S:t Göran","1135","802007-4756"